Class Name;DefaultDisplayName;DefaultCategory;Behaviors;DisplayOrder;DefaultIconBlockOffset;DefaultIconViewOffset;DefaultIconViewScale;FirstPersonScale;FirstPersonOffset;FirstPersonRotation;InHandScale;InHandOffset;InHandRotation;CraftingId;DefaultCreativeData;IsCollidable;IsPlaceable;IsDiggingTransparent;IsPlacementTransparent;DefaultIsInteractive;IsEditable;IsNonDuplicable;IsGatherable;HasCollisionBehavior;KillsWhenStuck;IsFluidBlocker;IsTransparent;DefaultShadowStrength;LightAttenuation;EmittedLightAmount;ObjectShadowStrength;DefaultDropContent;DefaultDropCount;DefaultExperienceCount;RequiredToolLevel;MaxStacking;MaxInHandStacking;SleepSuitability;FrictionFactor;Density;NoAutoJump;NoSmoothRise;FuelHeatLevel;FuelFireDuration;DefaultSoundMaterialName;ShovelPower;QuarryPower;HackPower;DefaultMeleePower;DefaultMeleeHitProbability;DefaultProjectilePower;ToolLevel;PlayerLevelRequired;Durability;IsAimable;IsStickable;AlignToVelocity;ProjectileSpeed;ProjectileDamping;ProjectileTipOffset;DisintegratesOnHit;ProjectileStickProbability;DefaultHeat;FireDuration;ExplosionResilience;DefaultExplosionPressure;DefaultExplosionIncendiary;IsExplosionTransparent;DigMethod;DigResilience;ProjectileResilience;DefaultNutritionalValue;DefaultSicknessProbability;FoodType;DefaultRotPeriod;DefaultTextureSlot;DestructionDebrisScale;DefaultDescription
ClayBlock;粘土;Terrain;;12;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;clay;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0.9;#;1;0.005;0;40;40;0;1;3;FALSE;FALSE;0;0;Soft;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;1;;0;25;;;FALSE;Shovel;3;1;;;;;8;1;黏土常见于浅水底部。可以烧成砖。
SandBlock;沙子;Terrain;;13;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;sand;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0.9;#;1;0.005;0;40;40;0.5;1;3;FALSE;FALSE;0;0;Sand;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.5;;0;25;;;FALSE;Shovel;1.5;1;;;;;18;1;沙子，组成沙漠和海滩。会崩塌。能烧成玻璃和大理石。
GrassBlock;草地;Terrain;;14;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#DirtBlock;1;0.005;0;40;40;1;1;3;FALSE;FALSE;0;0;Dirt;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.75;;0;25;;;FALSE;Shovel;2;1;;;;;;1;覆盖草的泥土。草会被重物覆盖。
WaterBlock;水;Terrain;;15;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;-1;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;1;2;0;0;;1;;0;40;40;0;1;1;FALSE;FALSE;0;0;;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;;;1;;;;;189;0;水是一种液体，容易从一个地方流到另一地方，填补低洼地区。桶可以用来把它从源头运输到干燥地区。当水被处于一个寒冷的地区时，将会结冰。
MagmaBlock;岩浆;Terrain;;16;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;-1;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;0;1;13;0;;1;;0;40;40;0;1;3;FALSE;FALSE;0;0;Sand;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;1;0;50;;;FALSE;;;1;;;;;141;0;熔融的岩浆偶尔被发现位于地下深处的玄武岩池中。它非常热，一旦触及它就会被点燃。岩浆也能非常迅速地杀死任何落入它的有生命的东西。可以用桶盛装。
SnowBlock;雪;Terrain;;17;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;snow;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;2;0;0;0.8;;0;;1;40;40;0;1;0.5;FALSE;FALSE;0;0;Snow;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;2;;;TRUE;Shovel;1;1;;;;;66;1;从天空落下的冷冻水汽。覆盖在寒冷的表面。
IceBlock;冰;Terrain;;18;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;ice;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;2;0;0.9;#WaterBlock;1;0.005;0;40;40;0;0.1;0.5;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;25;;;FALSE;Quarry;3;1;;;;;65;1;被冻成固体的水。热源能将冰融化回水，行走起来较难。
FireBlock;火;Terrain;;19;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;fire;-1;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;0;1;15;1;;1;;0;40;40;0;1;0;FALSE;FALSE;0;0;;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;1;0;0;;;TRUE;;;1;;;;;123;1;
CoalOreBlock;煤矿;Terrain;;20;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;coalore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#CoalChunkBlock;3;2;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;10;1;;;;;34;1;煤矿嵌在花岗岩。开采后变成煤块。
CopperOreBlock;铜矿;Terrain;;21;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;copperore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#MalachiteChunkBlock;3;2;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;10;1;;;;;32;1;铜矿，嵌在玄武岩。开采后变成孔雀石块。
IronOreBlock;铁矿;Terrain;;22;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;ironore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#IronOreChunkBlock;2;2;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;15;1;;;;;33;1;铁矿，嵌在花岗岩。烧成铁锭。
SulphurOreBlock;硫矿;Terrain;;23;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;sulphurore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#SulphurChunkBlock;3;2;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;15;1;;;;;36;1;硫矿，嵌在玄武岩。开采后变成硫块。
DiamondOreBlock;钻矿;Terrain;;24;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;diamondore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#DiamondChunkBlock;2;4;3;40;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;15;1;;;;;48;1;钻矿，嵌在玄武岩。需要铁镐开采。开采后变成钻石。
GermaniumOreBlock;锗矿;Terrain;;25;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;germaniumore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#GermaniumOreChunkBlock;2;2;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;15;1;;;;;49;1;锗矿，嵌在玄武岩。烧成锗晶体。
SaltpeterOreBlock;硝矿;Terrain;;26;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;saltpeterore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#SaltpeterChunkBlock;2;2;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;50;;;FALSE;Quarry;8;1;;;;;35;1;硝矿，嵌在砂岩。开采后变成硝块。
CoalBlock;纯煤;Terrain;;27;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;coalblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;4;4;0;1;3;FALSE;FALSE;2;600;Stone;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;999999;50;;;FALSE;Quarry;6;1;;;;;62;1;地下丰富的煤层内发现的纯煤矿。
StoneChunkBlock;石头;Terrain;ThrowableBlockBehavior;28;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;stonechunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;;0;40;40;0;1;3;FALSE;FALSE;0;0;;1;1;1;1;0.66;2;1;;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;;0;;;;;;;1;;;;;210;1;熟练使用的话可以成为强大的武器。在自然界中数量大且易于获得，可通过挖掘砾石获取。
CoalChunkBlock;煤块;Terrain;ThrowableBlockBehavior;29;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;coalchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;;0;40;40;0;1;3;FALSE;FALSE;2;80;;1;1;1;1;0.66;2;1;;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;;0;;;;;;;1;;;;;227;1;一块纯正的煤。 可以用作熔炉的燃料， 同时也是火药的组成成分。 是一种将矿石还原成金属的必要物质。 同时也可以作为制作黑色颜料的材料。 如果找不到煤矿的话， 你可以在没有氧气的环境下将原木烧制成类似的物质: 木炭。
MalachiteChunkBlock;孔雀石;Terrain;ThrowableBlockBehavior;30;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;malachitechunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;;0;40;40;0;1;3;FALSE;FALSE;0;0;;1;1;1;1;0.66;2;1;;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;;0;;;;;;;1;;;;;226;1;一块有着绿颜色的美丽碳酸盐矿物。 你可以把它在熔炉里冶炼成纯铜。 一些这样的矿物可以组成一整块孔雀石， 一种美丽的装饰材料。
IronOreChunkBlock;铁矿石;Terrain;ThrowableBlockBehavior;31;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;ironorechunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;;0;40;40;0;1;3;FALSE;FALSE;0;0;;1;1;1;1;0.66;2;1;;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;;0;;;;;;;1;;;;;228;1;铁矿石。你可以把它在熔炉里冶炼成纯铁，可以用来制作耐用的工具和护甲。
SaltpeterChunkBlock;硝石;Terrain;ThrowableBlockBehavior;32;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;saltpeterchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;;0;40;40;0;1;3;FALSE;FALSE;2;0;;1;1;1;1;0.66;2;1;;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;;0;;;;;;;1;;;;;15;0.5;一些硝酸钾。 这是一种白色的富氧物质， 可以用来制作火药。
SulphurChunkBlock;硫磺;Terrain;ThrowableBlockBehavior;33;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;sulphurchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;;0;40;40;0;1;0.5;FALSE;FALSE;2;10;;1;1;1;1;0.66;2;1;;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;;0;;;;;;;1;;;;;224;1;一些硫磺。 是一种良好的天然颜料， 硫还可以用来制作一些火器， 比如火药和火柴。
GermaniumOreChunkBlock;锗矿石;Terrain;ThrowableBlockBehavior;34;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;germaniumorechunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;;0;40;40;0;1;0.5;FALSE;FALSE;0;0;;1;1;1;1;0.66;2;1;;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;;0;;;;;;;1;;;;;228;1;锗矿石。你可以把它在熔炉里冶炼成纯锗晶体，可以用来制作电路逻辑门。
GermaniumChunkBlock;锗晶;Terrain;ThrowableBlockBehavior;35;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;germaniumchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;;0;40;40;0;1;3;FALSE;FALSE;0;0;;1;1;1;1;0.66;2;1;;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;;0;;;;;;;1;;;;;228;1;锗晶体是一种纯净的电子级锗物质。 它是一种半导体， 可以用来制作一些电学逻辑门。
DiamondChunkBlock;钻石;Terrain;ThrowableBlockBehavior;36;0,0,0;0, 0.5, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 0;diamond;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;;0;40;40;0;1;1.5;FALSE;FALSE;0;20;;1;1;1;1;0.66;2;1;;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;;0;;;;;;;1;;;;;193;1;钻石是一种纯碳晶体。 十分坚硬也非常美丽， 通常在很深的地下可以找到它们。 可以用它制作一些坚硬耐用的工具。 作为含碳物质， 也可以用作熔炉的燃料， 但只有傻子才会大材小用。
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OakWoodBlock;橡木;Plants;WoodBlockBehavior;38;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;wood;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0.01;0;40;40;0.5;1;0.5;FALSE;FALSE;1;20;Wood;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;20;20;;;FALSE;Hack;5;1;;;;;;1;橡木可由开采橡树树干获得，橡树生长在温暖潮湿的地方。橡木可以制作成木板，这是一个多功能的建筑和工艺材料。它也可以被用来作为熔炉的燃料。你如果想种植橡树，需要获得橡树幼树苗。
BirchWoodBlock;白桦木;Plants;WoodBlockBehavior;39;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;wood;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0.01;0;40;40;0.5;1;0.5;FALSE;FALSE;1;20;Wood;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;20;20;;;FALSE;Hack;5;1;;;;;;1;桦木可由开采白桦树的树干获得，桦树生长在温带湿润地区。桦木可以制作成木板，这是一个多功能的建筑和工艺材料。它也可以被用来作为熔炉的燃料。你如果想种植桦树，需要获得桦树幼树苗。
SpruceWoodBlock;云杉木;Plants;WoodBlockBehavior;40;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;wood;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0.01;0;40;40;0.5;1;0.5;FALSE;FALSE;1;20;Wood;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;20;20;;;FALSE;Hack;5;1;;;;;;1;云杉木可由开采云杉树的树干获得，云杉树生长在较冷的地区。云杉木可以制作成木板，这是一个多功能的建筑和工艺材料。它也可以被用来作为熔炉的燃料。你如果想种植云杉树，需要获得云杉树幼树苗。
OakLeavesBlock;橡木叶;Plants;WoodBlockBehavior;41;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;oakleaves;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;12;3;0;0;#;1;;1;40;40;0.5;1;0.5;FALSE;FALSE;1;1;Plant;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;8;2;;;TRUE;Hack;0;0.5;;;;;52;1;橡树的叶子生长在橡树上，可以被用来做橡树树苗。它们可以燃烧，用来作为一种廉价的燃料。当远离树干时，它们会腐烂。可以制作陷阱。
